nummer op prent saftleven 1684;Naam;Wikidata-ID
1;St.-Jobsgasthuis;Q84356543
2;St.-Martinusgasthuis;Q84710192
3;Weerdpoort; Q14518084
4;Jacobikerk; Q1878995
5;Plompetoren; Q2593115
6;Catharijnepoort; Q1904062
7;Wittevrouwenklooster; Q1900284
8;Hertenhuis;Q1955870
9;Oudaen; Q1820630
10;Drakenburg; Q2340974
11;Fresenburg; Q2459211
12;Blankenburg;Q7477626
13;Janskerk; Q1682982
14;Putruwiel; Q2347538
15;Keyserrijck;Q8435752
16;Groenewoude; Q1988915
17;Lichtenberg; Q2003640
18;Hasenberg (samen het stadhuis). ;Q84750926
19;kerk St.-Hieronymusgasthuis;Q84599956
20;Pieterskerk; Q2094317
21;Buurkerk; Q2150534
22;Domkerk; Q936545
23;Bisschopshof;Q84595778
24;Mariakerk; Q1896594
25;kerk Paulusabdij; Q2269681
26;kerk Abraham Doleklooster;Q7476534
27;kapel Duitse Huis; Q2434699
28;kerk Regulierenklooster (weeshuis);Q84549114
29;St.-Catharinakerk; Q1627233
30;Bartholomeïgasthuis; Q2174025
31;Smeetoren; Q5347090
32;toren van het St.-Servaesklooster;Q84543792
33;Geertekerk; Q7476228
34;kapel van het St.-Agnietenklooster; Q24074969
35;Nicolaikerk; Q2372424
36;Bijlhouwerstoren; Q13439353
